"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_0)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_1)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_2)\Power","\\NATHANS_LAPTOP\Energy Meter(GPU)\Power","\\NATHANS_LAPTOP\Energy Meter(PSU_USB)\Power","\\NATHANS_LAPTOP\Energy Meter(SYS)\Power","\\NATHANS_LAPTOP\Energy Meter(USBC_TOTAL)\Power","\\NATHANS_LAPTOP\Energy Meter(_Total)\Power","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Utility","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Time","\\NATHANS_LAPTOP\Processor Information(_Total)\Processor Frequency","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ0)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ2)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ98)\High Precision Temperature","\\NATHANS_LAPTOP\Memory\Available MBytes"
"09/05/2026 11:33:47.596","3880.0034914441621368","10820.009736449957927","7230.0065041645366364","250.00022316447220305","38990.035083614689938","40760.036678160839074","0","0","52.019289805054334863","55.984248852883290226","3231","3478","3641","3641","1571"
"09/05/2026 11:33:48.605","3669.9941841611043856","10019.984127606347101","7149.9886747941118301","319.99949040137130396","40449.935933117849345","42309.932985998508229","0","0","51.002999998414374261","57.285932193596721618","3417","3450","3626","3626","1556"
"09/05/2026 11:33:49.615","4920.0072710505783107","10140.014985457899456","7130.0105341562029935","280.00041143505711716","35540.052521813151543","37410.055284812369791","0","0","51.799269320664841132","56.390724283604832578","3129","3462","3630","3630","1595"
"09/05/2026 11:33:50.630","4790.0052495039344649","10140.011116174428025","8090.0088663870283199","240.0002619369700767","37820.041464981179161","39450.043251893657725","0","0","52.031082497379848917","54.212001356174475575","3045","3470","3649","3649","1604"
"09/05/2026 11:33:51.640","2429.9958839178789276","10119.982865194724582","7639.9870637419062405","219.99962711451169639","41479.929768452449935","43129.926975396730995","0","0","53.132049553439159695","56.419669919531131086","3231","3478","3673","3673","1611"
"09/05/2026 11:33:52.650","4789.9956931417418673","10049.990965663770112","8549.9923138038757315","209.99980946286504491","41019.96313286190707","42259.962018399419321","0","0","51.473327149609190201","54.138687764204426855","2674","3470","3645","3645","1584"
"09/05/2026 11:33:53.656","3609.9982004201410746","9749.9951425683084381","6939.9965442330994847","209.99989245538691307","37889.981133090041112","39979.980093492114975","0","0","52.88117999242860634","58.055188484944949323","3045","3482","3633","3633","1641"
"09/05/2026 11:33:54.660","4230.0067123439293937","9810.0155669252817461","7750.0122964428146588","230.00036418036211217","39900.063313827071397","41940.066552175980178","0","0","51.856258029142402677","56.295042509042978907","3417","3482","3633","3633","1672"
"09/05/2026 11:33:55.665","3790.0067775151019305","10700.019134409390972","6590.011784650269874","240.00042918301437567","39160.07002836184256","41190.073658534842252","0","0","52.110521380733224817","56.212642797589083443","3045","3494","3657","3657","1663"
"09/05/2026 11:33:56.682","5089.9994939271255134","10189.998987854251027","6949.9993086046642929","239.99997505274561149","39489.99609040885116","40849.995954980899114","0","0","53.621697525425432218","61.067123251696919795","2943","3482","3633","3633","1508"
"09/05/2026 11:33:57.689","4629.9981483146066239","11279.995491235955342","8519.9965950561800128","209.99991370786517564","38319.984690337078064","40119.983971235953504","0","0","53.687837060530270605","58.890417303529083881","3045","3486","3653","3653","1668"
"09/05/2026 11:33:58.698","4240.0016896982224353","10730.004276263865904","8340.0033219969300262","210.00008251180278762","39920.015910428053758","41850.016681734035956","0","0","53.28024746992310412","58.674781354018691104","2860","3462","3665","3665","1661"
"09/05/2026 11:33:59.705","4409.998679043455013","10749.996783757977028","7809.9976631991557952","179.99994615666258824","37529.988771869371703","39099.988301637553377","0","0","54.877605894472189618","59.164080130259414148","3231","3482","3649","3649","1595"
